Contig,06/29/10,05/22/13,07/10/09,12/23/13,12/11/12,02/23/11,09/18/13,03/13/13,09/28/11,05/17/10,04/29/11,11/29/11,05/22/13,01/15/14,05/21/11,02/13/13,05/22/13,08/11/10,01/26/12,01/16/13,04/27/10,11/23/10,05/21/14,02/11/10,09/10/14,12/20/11,10/21/10,01/11/11,12/23/13,06/22/11,08/19/09,09/24/09,04/24/13,10/21/10,04/10/14,11/28/12,07/21/10,06/29/10,08/14/13,12/23/09,07/17/14,09/10/14,07/20/11,10/22/09,08/14/13,07/09/12,08/14/13,10/22/09,06/29/10,07/21/10,10/25/11,05/21/14,02/11/10,09/10/14,03/13/13,12/11/12,04/10/14,08/11/10,09/18/13,02/12/14,12/20/11,07/10/09,11/28/12,01/16/13,07/18/13,01/26/12,08/17/11,12/16/10,01/11/11,05/21/11,12/20/11,09/15/10,09/24/09,11/13/13,06/22/11,06/19/13,06/20/12,02/16/12,06/19/13,08/19/09,11/28/12,12/23/09,11/23/10,08/17/11,01/26/12,11/29/11,11/29/11,11/13/13,09/15/10,09/28/11,12/23/13,02/16/12,08/15/12,02/12/14,05/17/10,03/24/10,04/29/11,02/23/11,04/27/10,12/16/10,04/24/13,05/30/12,02/13/13,03/24/10,07/18/13,08/15/12,07/20/11,10/25/11,07/17/14,05/30/12,01/15/14,Clade
1126415_scaffold00816,0.44350597,0.31212783,77.30547,0.6934649,0.96361613,0.46739265,4.46409,1.576427,0.7779015,0.3443634,0.8937775,1.3763857,0.31212783,3.5673637,1.1597428,0.78462267,0.31212783,0.7076652,0,0.59222937,0.43178493,14.746645,7.090105,1.126741,1.7047249,0.18939818,0.26820377,0.7877237,0.6934649,0.40570238,0.9413315,0.41256523,0.5524064,0.26820377,3.7895613,1.1675042,1.4306995,0.44350597,1.5449874,2.0848224,4.27773,1.7047249,1.1106011,3.0338888,1.5449874,0.6861033,1.5449874,3.0338888,0.44350597,1.4306995,1.8707404,7.090105,1.126741,1.7047249,1.576427,0.96361613,3.7895613,0.7076652,4.46409,1.3643649,0.18939818,77.30547,1.1675042,0.59222937,1.3088866,0,0,0.894337,0.7877237,1.1597428,0.18939818,0.66611165,0.41256523,1.8497303,0.40570238,0.66399676,0.6487874,0.87363744,0.66399676,0.9413315,1.1675042,2.0848224,14.746645,0,0,1.3763857,1.3763857,1.8497303,0.66611165,0.7779015,0.6934649,0.87363744,0.555126,1.3643649,0.3443634,1.1860461,0.8937775,0.46739265,0.43178493,0.894337,0.5524064,0.952191,0.78462267,1.1860461,1.3088866,0.555126,1.1106011,1.8707404,4.27773,0.952191,3.5673637,PLV1
1126415_scaffold00868,263.96176,15.629966,96.60564,22.200123,22.551748,4.091812,28.47075,20.70136,20.806196,7.5577593,13.775835,22.961304,15.629966,35.19744,428.05096,59.33199,15.629966,143.47556,0,63.140423,6.4159813,6.573703,6223.2095,6.7193146,8.274747,13.868905,9.206033,0.8583631,22.200123,138.92325,32.841343,5.0541677,10.7529,9.206033,9.282046,56.012955,276.5449,263.96176,16.24866,15.073833,7.1191306,8.274747,63.704258,26.584238,16.24866,15.719512,16.24866,26.584238,263.96176,276.5449,15.201877,6223.2095,6.7193146,8.274747,20.70136,22.551748,9.282046,143.47556,28.47075,114.69203,13.868905,96.60564,56.012955,63.140423,10.040555,0,49.6082,8.567997,0.8583631,428.05096,13.868905,43.135647,5.0541677,31.553381,138.92325,44.31687,21.654188,17.02315,44.31687,32.841343,56.012955,15.073833,6.573703,49.6082,0,22.961304,22.961304,31.553381,43.135647,20.806196,22.200123,17.02315,2.2652287,114.69203,7.5577593,17.785255,13.775835,4.091812,6.4159813,8.567997,10.7529,11.224716,59.33199,17.785255,10.040555,2.2652287,63.704258,15.201877,7.1191306,11.224716,35.19744,X1
1126415_scaffold00959,19.034962,0.43715274,71.76466,168.62355,2.0993767,47.689552,2.6873543,1.5741338,2.6026833,44.452034,3.8501909,1.7299933,0.43715274,215.61794,2.6238465,1.3675308,0.43715274,222.6288,0,1.290257,44.952297,64.02001,233.24692,73.99762,15.474953,1.5267355,62.489845,10.909937,168.62355,2.7679431,236.27228,135.17447,0.94560486,62.489845,398.1906,0.4769205,297.98373,19.034962,2.9919806,132.16364,0.93196505,15.474953,1.6524128,219.12369,2.9919806,2.3633606,2.9919806,219.12369,19.034962,297.98373,1.1038293,233.24692,73.99762,15.474953,1.5741338,2.0993767,398.1906,222.6288,2.6873543,142.6108,1.5267355,71.76466,0.4769205,1.290257,12.653967,0,1.1042781,47.172806,10.909937,2.6238465,1.5267355,122.15999,135.17447,9.067284,2.7679431,1.6877147,2.348866,2.0302346,1.6877147,236.27228,0.4769205,132.16364,64.02001,1.1042781,0,1.7299933,1.7299933,9.067284,122.15999,2.6026833,168.62355,2.0302346,6.2331753,142.6108,44.452034,118.86273,3.8501909,47.689552,44.952297,47.172806,0.94560486,10.458863,1.3675308,118.86273,12.653967,6.2331753,1.6524128,1.1038293,0.93196505,10.458863,215.61794,X3
1126415_scaffold01134,0.31610748,1.324215,114.05126,3.569691,0.24529085,1.2492474,2.791023,0,36.369076,0.1636293,106.51067,6.9802976,1.324215,4.7220216,8.901879,0.4660311,1.324215,0.06725149,0,1.9698448,0,7.315087,1.6844833,0.41641244,1.3500415,6.6146555,0.21240157,0.08911868,3.569691,3.297474,27.396353,2.450455,0.46872136,0.21240157,0.834986,11.384069,0.056651473,0.31610748,5.607887,2.3557754,0.6775419,1.3500415,7.143504,0.10921187,5.607887,5.1985703,5.607887,0.10921187,0.31610748,0.056651473,0.740758,1.6844833,0.41641244,1.3500415,0,0.24529085,0.834986,0.06725149,2.791023,1.694415,6.6146555,114.05126,11.384069,1.9698448,2.4294395,0,5.8490744,5.4237967,0.08911868,8.901879,6.6146555,0.025525218,2.450455,5.2735577,3.297474,2.3005774,15.368705,1.2453645,2.3005774,27.396353,11.384069,2.3557754,7.315087,5.8490744,0,6.9802976,6.9802976,5.2735577,0.025525218,36.369076,3.569691,1.2453645,0.45653576,1.694415,0.1636293,2.465606,106.51067,1.2492474,0,5.4237967,0.46872136,2.6392767,0.4660311,2.465606,2.4294395,0.45653576,7.143504,0.740758,0.6775419,2.6392767,4.7220216,X1
1126415_scaffold01135,19.23445,0.05298121,36.456924,0,0.16356616,0.50907385,0.27916873,0.07804589,0.26408514,26.759754,34.03167,0,0.05298121,0,5.9006658,0,0.05298121,3.4979095,0,0.21110505,0.4397523,11.64916,0.18720937,0,0,0.18003346,35.231644,1.1588185,0,3.805683,3.6816785,0,0.28129974,35.231644,0.18156189,0.46240723,14.562894,19.23445,0.6119151,0.483351,0,0,1.7380227,0,0.6119151,30.009056,0.6119151,0,19.23445,14.562894,0.6483175,0.18720937,0,0,0.07804589,0.16356616,0.18156189,3.4979095,0.27916873,0.22106324,0.18003346,36.456924,0.46240723,0.21110505,0.19440143,0,0.86036265,6.5436625,1.1588185,5.9006658,0.18003346,4.902008,0,0,3.805683,0,41.44643,0,0,3.6816785,0.46240723,0.483351,11.64916,0.86036265,0,0,0,0,4.902008,0.26408514,0,0,172.89067,0.22106324,26.759754,0,34.03167,0.50907385,0.4397523,6.5436625,0.28129974,32.810246,0,0,0.19440143,172.89067,1.7380227,0.6483175,0,32.810246,0,X1
1126415_scaffold01148,0.052915435,1.0108132,85.52849,1.7467006,0.9033408,1.2082502,1.8221141,0.7053229,0.994422,0.36977908,0.24235927,0.8842555,1.0108132,2.3105524,0,0.09361463,1.0108132,1.1145117,0,0.4946191,0.4415741,0.19334577,0.093992464,0.62735564,0.6779785,0.8587017,0,0,1.7467006,18.979864,25.223364,0.21877265,0.094155036,0,1.0574214,0.87060547,0.85349566,0.052915435,0.5120418,1.5167294,1.531149,0.6779785,21.395138,0.3290712,0.5120418,0.37611407,0.5120418,0.3290712,0.052915435,0.85349566,1.4880075,0.093992464,0.62735564,0.6779785,0.7053229,0.9033408,1.0574214,1.1145117,1.8221141,1.3318743,0.8587017,85.52849,0.87060547,0.4946191,1.464051,0,0.17278539,0.6177649,0,0,0.8587017,0,0.21877265,1.655208,18.979864,0.0660188,0.20490327,1.1118414,0.0660188,25.223364,0.87060547,1.5167294,0.19334577,0.17278539,0,0.8842555,0.8842555,1.655208,0,0.994422,1.7467006,1.1118414,0.5604332,1.3318743,0.36977908,0.35377282,0.24235927,1.2082502,0.4415741,0.6177649,0.094155036,0.09467291,0.09361463,0.35377282,1.464051,0.5604332,21.395138,1.4880075,1.531149,0.09467291,2.3105524,PLV3
1126415_scaffold01154,4.19,0,62.69718,11.149486,1.481617,0.60552406,2.3882825,9.268982,5.5816584,5.394804,4.761242,2.025836,0,4.8755856,0.28449494,0,0,4.129858,0,6.940703,3.8358376,0.7751741,3.4857748,2.7248363,0.67954856,0.2717969,0.5702034,2.0634785,11.149486,0.6894538,4.7374015,0.16445947,5.096146,0.5702034,6.2130327,0.58174765,0,4.19,9.0328045,0.18242902,2.2167814,0.67954856,0.9718135,5.7171097,9.0328045,1.3748869,9.0328045,5.7171097,4.19,0,6.1522455,3.4857748,2.7248363,0.67954856,9.268982,1.481617,6.2130327,4.129858,2.3882825,0.37082183,0.2717969,62.69718,0.58174765,6.940703,0.3913177,0,6.2346787,0.5629049,2.0634785,0.28449494,0.2717969,1.9529288,0.16445947,2.2120545,0.6894538,4.036473,1.3463653,0.13930202,4.036473,4.7374015,0.58174765,0.18242902,0.7751741,6.2346787,0,2.025836,2.025836,2.2120545,1.9529288,5.5816584,11.149486,0.13930202,1.4809271,0.37082183,5.394804,18.675184,4.761242,0.60552406,3.8358376,0.5629049,5.096146,6.5475583,0,18.675184,0.3913177,1.4809271,0.9718135,6.1522455,2.2167814,6.5475583,4.8755856,PLV3
1126415_scaffold01207,6.31374,28.236662,121.4456,5.484527,26.270336,8.269437,29.122585,7.899833,23.253061,25.906376,8.475882,33.783092,28.236662,17.762205,74.52158,2.3110073,28.236662,7.8510094,0,15.335629,23.39145,2.3202128,16.435703,7.2826457,15.342106,25.707518,3.840086,3.130349,5.484527,11.739813,38.7005,23.853123,11.1375,3.840086,15.002252,32.059055,6.906187,6.31374,24.754238,24.025652,3.3248718,15.342106,26.694326,27.755562,24.754238,6.4857755,24.754238,27.755562,6.31374,6.906187,36.877026,16.435703,7.2826457,15.342106,7.899833,26.270336,15.002252,7.8510094,29.122585,21.46279,25.707518,121.4456,32.059055,15.335629,15.761986,0,32.10934,5.3722935,3.130349,74.52158,25.707518,2.8743594,23.853123,8.9667425,11.739813,19.828815,5.97163,17.654936,19.828815,38.7005,32.059055,24.025652,2.3202128,32.10934,0,33.783092,33.783092,8.9667425,2.8743594,23.253061,5.484527,17.654936,2.8823063,21.46279,25.906376,15.889888,8.475882,8.269437,23.39145,5.3722935,11.1375,7.9852023,2.3110073,15.889888,15.761986,2.8823063,26.694326,36.877026,3.3248718,7.9852023,17.762205,X2
1126415_scaffold01239,0,0.1653591,88.04409,0.7619814,0.34033644,0.04814742,28.317593,0.08119608,0.82423335,0.21284299,0.15066084,0,0.1653591,2.8978746,0.07351899,0,0.1653591,0.13996525,0,0,0.9912545,0.33386657,0,0.9595017,0,0.70237577,0.44205475,0,0.7619814,0.739068,8.1454115,0.113332,0.0975513,0.44205475,0.2644464,5.35192,0.058952134,0,22.38759,1.0057212,0.3525287,0,34.020473,0.7955293,22.38759,0.06876722,22.38759,0.7955293,0,0.058952134,0,0,0.9595017,0,0.08119608,0.34033644,0.2644464,0.13996525,28.317593,0,0.70237577,88.04409,5.35192,0,1.2134886,0,2.7449417,1.6873997,0,0.07351899,0.70237577,0.23905633,0.113332,8.574564,0.739068,0,0.21229433,0.21598999,0,8.1454115,5.35192,1.0057212,0.33386657,2.7449417,0,0,0,8.574564,0.23905633,0.82423335,0.7619814,0.21598999,0.07917935,0,0.21284299,0,0.15066084,0.04814742,0.9912545,1.6873997,0.0975513,0.39235142,0,0,1.2134886,0.07917935,34.020473,0,0.3525287,0.39235142,2.8978746,X1
1126415_scaffold01278,51.035984,516.82043,60.853542,2.233655,15.441956,9.523764,22.209913,20.697071,4.8322783,5.946259,15.873573,9.274446,516.82043,11.304941,10.981736,9.197082,516.82043,7.7063346,1.2154312,11.196633,7.8523045,6.8423123,17.475481,2.5878062,12.891747,4.105921,14.197782,2.2693536,2.233655,5.409489,29.512905,9.186574,171.67528,14.197782,28.92767,13.611515,9.737521,51.035984,25.85572,4.4222226,3.2349741,12.891747,3.6189814,5.330278,25.85572,67.19422,25.85572,5.330278,51.035984,9.737521,4.4701276,17.475481,2.5878062,12.891747,20.697071,15.441956,28.92767,7.7063346,22.209913,8.5200205,4.105921,60.853542,13.611515,11.196633,20.724516,1.2154312,12.229402,9.314371,2.2693536,10.981736,4.105921,4.54989,9.186574,6.6444583,5.409489,81.03956,60.343487,10.056962,81.03956,29.512905,13.611515,4.4222226,6.8423123,12.229402,1.2154312,9.274446,9.274446,6.6444583,4.54989,4.8322783,2.233655,10.056962,525.4577,8.5200205,5.946259,4.1109343,15.873573,9.523764,7.8523045,9.314371,171.67528,490.9555,9.197082,4.1109343,20.724516,525.4577,3.6189814,4.4701276,3.2349741,490.9555,11.304941,PLV2
